timestamp,source_ip,destination_ip,protocol,packet_size,src_port,dst_port,tcp_flags,ttl,http_host,http_uri,tls_sni,full_url
1748590608.415862000,192.168.209.199,192.168.209.48,6,284,44178,8000,0x0018,64,,,,
1748590608.415862000,192.168.209.199,192.168.209.48,6,112,44178,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.415964000,192.168.209.48,192.168.209.199,6,66,8000,44178,0x0010,128,,,,
1748590608.431507000,192.168.209.48,192.168.209.199,6,201,8000,44178,0x0018,128,,,,
1748590608.439842000,192.168.209.199,192.168.209.48,6,66,44178,8000,0x0010,64,,,,
1748590608.439895000,192.168.209.48,192.168.209.199,6,107,8000,44178,0x0018,128,,/login,,
1748590608.446311000,192.168.209.199,192.168.209.48,6,66,44178,8000,0x0010,64,,,,
1748590608.446311000,192.168.209.199,192.168.209.48,6,66,44162,8000,0x0011,64,,,,
1748590608.446401000,192.168.209.48,192.168.209.199,6,66,8000,44162,0x0010,128,,,,
1748590608.446708000,192.168.209.48,192.168.209.199,6,66,8000,44162,0x0011,128,,,,
1748590608.452932000,192.168.209.199,192.168.209.48,6,74,44184,8000,0x0002,64,,,,
1748590608.452932000,192.168.209.199,192.168.209.48,6,66,44162,8000,0x0010,64,,,,
1748590608.453003000,192.168.209.48,192.168.209.199,6,74,8000,44184,0x0012,128,,,,
1748590608.457859000,192.168.209.199,192.168.209.48,6,66,44184,8000,0x0010,64,,,,
1748590608.458018000,192.168.209.199,192.168.209.48,6,284,44184,8000,0x0018,64,,,,
1748590608.458075000,192.168.209.199,192.168.209.48,6,113,44184,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.458101000,192.168.209.48,192.168.209.199,6,66,8000,44184,0x0010,128,,,,
1748590608.473936000,192.168.209.48,192.168.209.199,6,201,8000,44184,0x0018,128,,,,
1748590608.478164000,192.168.209.199,192.168.209.48,6,66,44184,8000,0x0010,64,,,,
1748590608.478205000,192.168.209.48,192.168.209.199,6,107,8000,44184,0x0018,128,,/login,,
1748590608.482997000,192.168.209.199,192.168.209.48,6,66,44184,8000,0x0010,64,,,,
1748590608.484365000,192.168.209.199,192.168.209.48,6,66,44178,8000,0x0011,64,,,,
1748590608.484431000,192.168.209.48,192.168.209.199,6,66,8000,44178,0x0010,128,,,,
1748590608.484620000,192.168.209.48,192.168.209.199,6,66,8000,44178,0x0011,128,,,,
1748590608.487737000,192.168.209.199,192.168.209.48,6,74,44192,8000,0x0002,64,,,,
1748590608.487849000,192.168.209.48,192.168.209.199,6,74,8000,44192,0x0012,128,,,,
1748590608.492974000,192.168.209.199,192.168.209.48,6,66,44178,8000,0x0010,64,,,,
1748590608.494422000,192.168.209.199,192.168.209.48,6,66,44192,8000,0x0010,64,,,,
1748590608.495575000,192.168.209.199,192.168.209.48,6,284,44192,8000,0x0018,64,,,,
1748590608.496524000,192.168.209.199,192.168.209.48,6,112,44192,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.496583000,192.168.209.48,192.168.209.199,6,66,8000,44192,0x0010,128,,,,
1748590608.506850000,192.168.209.48,192.168.209.199,6,201,8000,44192,0x0018,128,,,,
1748590608.510939000,192.168.209.199,192.168.209.48,6,66,44192,8000,0x0010,64,,,,
1748590608.510980000,192.168.209.48,192.168.209.199,6,107,8000,44192,0x0018,128,,/login,,
1748590608.515870000,192.168.209.199,192.168.209.48,6,66,44192,8000,0x0010,64,,,,
1748590608.516894000,192.168.209.199,192.168.209.48,6,66,44184,8000,0x0011,64,,,,
1748590608.516949000,192.168.209.48,192.168.209.199,6,66,8000,44184,0x0010,128,,,,
1748590608.517129000,192.168.209.48,192.168.209.199,6,66,8000,44184,0x0011,128,,,,
1748590608.520310000,192.168.209.199,192.168.209.48,6,74,44206,8000,0x0002,64,,,,
1748590608.520401000,192.168.209.48,192.168.209.199,6,74,8000,44206,0x0012,128,,,,
1748590608.523826000,192.168.209.199,192.168.209.48,6,66,44184,8000,0x0010,64,,,,
1748590608.527548000,192.168.209.199,192.168.209.48,6,66,44206,8000,0x0010,64,,,,
1748590608.528707000,192.168.209.199,192.168.209.48,6,284,44206,8000,0x0018,64,,,,
1748590608.529619000,192.168.209.199,192.168.209.48,6,113,44206,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.529665000,192.168.209.48,192.168.209.199,6,66,8000,44206,0x0010,128,,,,
1748590608.546117000,192.168.209.48,192.168.209.199,6,201,8000,44206,0x0018,128,,,,
1748590608.550897000,192.168.209.199,192.168.209.48,6,66,44206,8000,0x0010,64,,,,
1748590608.550976000,192.168.209.48,192.168.209.199,6,107,8000,44206,0x0018,128,,/login,,
1748590608.555202000,192.168.209.199,192.168.209.48,6,66,44206,8000,0x0010,64,,,,
1748590608.557377000,192.168.209.199,192.168.209.48,6,66,44192,8000,0x0011,64,,,,
1748590608.557462000,192.168.209.48,192.168.209.199,6,66,8000,44192,0x0010,128,,,,
1748590608.557725000,192.168.209.48,192.168.209.199,6,66,8000,44192,0x0011,128,,,,
1748590608.561736000,192.168.209.199,192.168.209.48,6,74,44214,8000,0x0002,64,,,,
1748590608.561857000,192.168.209.48,192.168.209.199,6,74,8000,44214,0x0012,128,,,,
1748590608.563109000,192.168.209.199,192.168.209.48,6,66,44192,8000,0x0010,64,,,,
1748590608.567138000,192.168.209.199,192.168.209.48,6,66,44214,8000,0x0010,64,,,,
1748590608.567691000,192.168.209.199,192.168.209.48,6,284,44214,8000,0x0018,64,,,,
1748590608.567691000,192.168.209.199,192.168.209.48,6,112,44214,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.567787000,192.168.209.48,192.168.209.199,6,66,8000,44214,0x0010,128,,,,
1748590608.585863000,192.168.209.48,192.168.209.199,6,201,8000,44214,0x0018,128,,,,
1748590608.589996000,192.168.209.199,192.168.209.48,6,66,44214,8000,0x0010,64,,,,
1748590608.590053000,192.168.209.48,192.168.209.199,6,107,8000,44214,0x0018,128,,/login,,
1748590608.594285000,192.168.209.199,192.168.209.48,6,66,44214,8000,0x0010,64,,,,
1748590608.595618000,192.168.209.199,192.168.209.48,6,66,44206,8000,0x0011,64,,,,
1748590608.595723000,192.168.209.48,192.168.209.199,6,66,8000,44206,0x0010,128,,,,
1748590608.596013000,192.168.209.48,192.168.209.199,6,66,8000,44206,0x0011,128,,,,
1748590608.599952000,192.168.209.199,192.168.209.48,6,74,44222,8000,0x0002,64,,,,
1748590608.600085000,192.168.209.48,192.168.209.199,6,74,8000,44222,0x0012,128,,,,
1748590608.601295000,192.168.209.199,192.168.209.48,6,66,44206,8000,0x0010,64,,,,
1748590608.605490000,192.168.209.199,192.168.209.48,6,66,44222,8000,0x0010,64,,,,
